,0,1
206,"Imports of light sour crude oil from OPEC to refineries in Virgin Islands, Annual",PET_IMPORTS.OPN_Y-RS_VI-LSO.A
207,"Imports of light sour crude oil from OPEC to refineries in Virgin Islands, Monthly",PET_IMPORTS.OPN_Y-RS_VI-LSO.M
208,"Imports of light sweet crude oil from OPEC to refineries in Virgin Islands, Annual",PET_IMPORTS.OPN_Y-RS_VI-LSW.A
209,"Imports of light sweet crude oil from OPEC to refineries in Virgin Islands, Monthly",PET_IMPORTS.OPN_Y-RS_VI-LSW.M
210,"Imports of medium crude oil from OPEC to refineries in Virgin Islands, Annual",PET_IMPORTS.OPN_Y-RS_VI-MED.A
211,"Imports of medium crude oil from OPEC to refineries in Virgin Islands, Monthly",PET_IMPORTS.OPN_Y-RS_VI-MED.M
212,"Imports of all grades of crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-ALL.A
213,"Imports of all grades of crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-ALL.M
214,"Imports of heavy sour crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-HSO.A
215,"Imports of heavy sour crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-HSO.M
216,"Imports of heavy sweet crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-HSW.A
217,"Imports of heavy sweet crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-HSW.M
218,"Imports of light sour crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-LSO.A
